Compound Code,PubChem ID,PubChem SMILES,mol SMILES,equal SMILES
,,,,
,,,O[C@H]1[C@@H](O[C@@H]([C@H]([C@@H]1O)O)CO[C@H]1OC(C(=O)O)[C@@H]([C@H](C1O)O)O)Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,No
,,,,
,,,,
,,,,
,,,,
,,,O[C@H]1[C@@H](O[C@@H]([C@H]([C@@H]1O)O)CO[C@H]1OC(C(=O)O)[C@@H]([C@H](C1O)O)O)Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,No
,,,,
,,,,
,,,,
,,,,
,,,,
,,,O[C@H]1[C@@H](O[C@@H]([C@H]([C@@H]1O)O)CO[C@H]1OC(C(=O)O)[C@@H]([C@H](C1O)O)O)Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,No
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,O[C@H]1[C@@H](O[C@@H]([C@H]([C@@H]1O)O)CO[C@H]1OC(C(=O)O)[C@@H]([C@H](C1O)O)O)Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,No
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,O[C@H]1[C@@H](O[C@@H]([C@H]([C@@H]1O)O)CO[C@H]1OC(C(=O)O)[C@@H]([C@H](C1O)O)O)Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,No
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,O[C@H]1[C@@H](O[C@@H]([C@H]([C@@H]1O)O)CO[C@H]1OC(C(=O)O)[C@@H]([C@H](C1O)O)O)Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,No
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,O[C@H]1[C@@H](O[C@@H]([C@H]([C@@H]1O)O)CO[C@H]1OC(C(=O)O)[C@@H]([C@H](C1O)O)O)Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,No
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,O[C@H]1[C@@H](O[C@@H]([C@H]([C@@H]1O)O)CO[C@H]1OC(C(=O)O)[C@@H]([C@H](C1O)O)O)Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,No
,,,,
,,,,
,,,,
,,,,
,,,,
,,,O[C@H]1[C@@H](O[C@@H]([C@H]([C@@H]1O)O)CO[C@H]1OC(C(=O)O)[C@@H]([C@H](C1O)O)O)Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,No
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,O[C@H]1[C@@H](O[C@@H]([C@H]([C@@H]1O)O)CO[C@H]1OC(C(=O)O)[C@@H]([C@H](C1O)O)O)Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,No
,,,,
,,,,
,,,,
,,,,
,,,O[C@H]1[C@@H](O[C@@H]([C@H]([C@@H]1O)O)CO[C@H]1OC(C(=O)O)[C@@H]([C@H](C1O)O)O)Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,No
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,O[C@H]1[C@@H](O[C@@H]([C@H]([C@@H]1O)O)CO[C@H]1OC(C(=O)O)[C@@H]([C@H](C1O)O)O)Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,No
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,O[C@H]1[C@@H](O[C@@H]([C@H]([C@@H]1O)O)CO[C@H]1OC(C(=O)O)[C@@H]([C@H](C1O)O)O)Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,No
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,O[C@H]1[C@@H](O[C@@H]([C@H]([C@@H]1O)O)CO[C@H]1OC(C(=O)O)[C@@H]([C@H](C1O)O)O)Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,No
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,OC(=O)C1O[C@@H](Oc2cc(O)c3c(c2)oc(cc3=O)c2ccc(c(c2)O)O)C([C@H]([C@@H]1O)O)O,No
